date,combined,Be-a.co.uk,Brentwood Open learning College,CPD Courses,Centre of Excellence,Course Gate,Euston College,Excel with Business,Janets,OfCourse,One Education,Oplex Careers,Oxford Home Study College,The Training Terminal,Training Express Ltd,Trendimi
28_Jan,38.06,13.44,7.68,9.86,7.17,7.8,1.06,5.75,9.37,3.08,18.89,7.19,4.49,3.27,0.94,0.0
29_Jan,37.86,16.16,6.05,9.58,3.28,10.46,1.11,3.88,8.62,3.37,17.03,9.95,5.72,3.35,0.64,0.82
30_Jan,38.91,12.89,5.89,10.8,6.38,8.81,0.94,3.97,7.43,4.23,19.7,6.69,5.62,4.17,2.03,0.46
31_Jan,38.1,13.38,7.62,11.12,3.98,6.79,1.39,3.2,8.43,4.64,19.01,8.92,6.38,2.04,2.48,0.62
01_Feb,42.33,12.42,8.04,11.73,3.01,7.7,5.03,2.68,10.69,2.83,18.32,6.84,6.96,2.63,0.59,0.54
02_Feb,31.69,18.67,6.75,10.97,5.44,7.74,1.11,2.85,8.39,4.84,14.09,8.07,7.92,1.64,0.36,1.17
03_Feb,35.97,14.07,5.73,12.06,3.85,9.54,2.59,5.28,9.3,4.62,13.77,8.81,5.6,2.95,0.77,1.07
04_Feb,39.12,15.18,5.95,10.8,6.58,10.5,5.28,3.0,8.05,2.43,14.28,8.64,4.57,2.52,1.01,1.22
05_Feb,37.33,15.06,5.24,11.98,5.99,8.08,0.0,4.02,10.17,3.01,17.29,8.22,5.8,2.7,1.79,0.63
06_Feb,36.85,17.44,6.64,10.87,3.35,8.11,1.49,0.88,7.74,4.05,17.53,8.6,6.01,4.15,1.98,1.17
07_Feb,42.78,11.13,7.24,10.02,8.02,11.45,1.33,0.49,10.47,3.68,18.63,8.47,5.15,2.25,0.9,0.76
08_Feb,44.05,14.57,4.76,10.84,6.4,10.65,0.0,1.4,13.36,1.77,18.92,7.33,5.0,1.63,1.12,2.24
09_Feb,33.85,21.59,6.14,9.65,5.13,7.89,0.0,0.22,8.04,4.64,16.24,11.0,4.38,2.92,1.68,0.49
10_Feb,40.54,17.34,5.45,7.79,5.39,7.82,3.33,1.76,10.84,2.09,17.61,9.82,5.61,3.27,0.94,0.94
11_Feb,42.53,15.73,6.77,8.91,3.04,8.29,4.92,2.57,9.99,3.09,17.71,6.46,5.61,4.09,1.62,1.18
12_Feb,40.52,12.64,5.13,7.3,5.04,9.12,2.94,2.54,8.84,5.06,19.08,11.59,4.2,4.97,0.54,1.03
13_Feb,35.94,16.8,6.35,10.38,4.84,9.26,0.0,3.85,8.3,3.14,17.56,9.12,4.79,3.66,0.82,1.14
14_Feb,36.37,10.97,7.03,9.81,5.68,7.29,0.0,3.36,7.49,1.55,20.78,14.97,3.87,5.61,0.81,0.77
15_Feb,35.0,18.08,4.13,11.47,7.26,10.73,0.0,0.0,7.06,3.59,16.01,8.67,7.72,3.59,1.2,0.5
16_Feb,36.92,14.29,4.86,9.33,7.6,9.22,4.44,1.27,9.29,3.56,12.95,11.86,5.74,3.77,1.02,0.81
17_Feb,36.23,18.52,4.29,10.23,6.97,10.78,0.0,0.88,9.14,3.34,13.38,9.05,6.13,3.67,2.93,0.71
18_Feb,39.7,13.23,4.53,11.18,5.84,11.68,0.0,0.18,8.35,5.07,18.09,8.55,4.56,5.72,1.58,1.43
19_Feb,33.38,18.63,5.01,11.57,5.71,6.73,1.78,1.72,8.43,3.44,15.45,8.54,5.95,5.07,0.99,0.96
20_Feb,36.79,16.39,6.72,10.85,5.35,7.91,0.0,1.37,10.7,3.44,17.94,10.0,3.1,5.11,0.24,0.88
21_Feb,34.62,12.62,3.71,12.53,8.06,6.5,0.0,4.56,8.59,3.32,18.71,10.88,5.03,3.68,0.82,1.0
22_Feb,41.38,16.18,4.36,8.63,8.37,8.8,2.35,1.79,7.17,3.76,21.35,7.26,4.74,2.26,1.71,1.28
