date,combined,Be-a.co.uk,Brentwood Open learning College,CPD Courses,Centre of Excellence,Course Gate,Euston College,Excel with Business,Janets,OfCourse,One Education,Oplex Careers,Oxford Home Study College,The Training Terminal,Training Express Ltd,Trendimi
28_Jan,2186.0,772.0,441.0,566.0,412.0,448.0,61.0,330.0,538.0,177.0,1085.0,413.0,258.0,188.0,54.0,0.0
29_Jan,2078.0,887.0,332.0,526.0,180.0,574.0,61.0,213.0,473.0,185.0,935.0,546.0,314.0,184.0,35.0,45.0
30_Jan,2535.0,840.0,384.0,704.0,416.0,574.0,61.0,259.0,484.0,276.0,1284.0,436.0,366.0,272.0,132.0,30.0
31_Jan,3454.0,1213.0,691.0,1008.0,361.0,616.0,126.0,290.0,764.0,421.0,1723.0,809.0,578.0,185.0,225.0,56.0
01_Feb,1659.0,487.0,315.0,460.0,118.0,302.0,197.0,105.0,419.0,111.0,718.0,268.0,273.0,103.0,23.0,21.0
02_Feb,1737.0,1023.0,370.0,601.0,298.0,424.0,61.0,156.0,460.0,265.0,772.0,442.0,434.0,90.0,20.0,64.0
03_Feb,1682.0,658.0,268.0,564.0,180.0,446.0,121.0,247.0,435.0,216.0,644.0,412.0,262.0,138.0,36.0,50.0
04_Feb,1866.0,724.0,284.0,515.0,314.0,501.0,252.0,143.0,384.0,116.0,681.0,412.0,218.0,120.0,48.0,58.0
05_Feb,1589.0,641.0,223.0,510.0,255.0,344.0,0.0,171.0,433.0,128.0,736.0,350.0,247.0,115.0,76.0,27.0
06_Feb,1509.0,714.0,272.0,445.0,137.0,332.0,61.0,36.0,317.0,166.0,718.0,352.0,246.0,170.0,81.0,48.0
07_Feb,2092.0,544.0,354.0,490.0,392.0,560.0,65.0,24.0,512.0,180.0,911.0,414.0,252.0,110.0,44.0,37.0
08_Feb,943.0,312.0,102.0,232.0,137.0,228.0,0.0,30.0,286.0,38.0,405.0,157.0,107.0,35.0,24.0,48.0
09_Feb,905.0,577.0,164.0,258.0,137.0,211.0,0.0,6.0,215.0,124.0,434.0,294.0,117.0,78.0,45.0,13.0
10_Feb,1473.0,630.0,198.0,283.0,196.0,284.0,121.0,64.0,394.0,76.0,640.0,357.0,204.0,119.0,34.0,34.0
11_Feb,1652.0,611.0,263.0,346.0,118.0,322.0,191.0,100.0,388.0,120.0,688.0,251.0,218.0,159.0,63.0,46.0
12_Feb,1737.0,542.0,220.0,313.0,216.0,391.0,126.0,109.0,379.0,217.0,818.0,497.0,180.0,213.0,23.0,44.0
13_Feb,1455.0,680.0,257.0,420.0,196.0,375.0,0.0,156.0,336.0,127.0,711.0,369.0,194.0,148.0,33.0,46.0
14_Feb,1127.0,340.0,218.0,304.0,176.0,226.0,0.0,104.0,232.0,48.0,644.0,464.0,120.0,174.0,25.0,24.0
15_Feb,848.0,438.0,100.0,278.0,176.0,260.0,0.0,0.0,171.0,87.0,388.0,210.0,187.0,87.0,29.0,12.0
16_Feb,1049.0,406.0,138.0,265.0,216.0,262.0,126.0,36.0,264.0,101.0,368.0,337.0,163.0,107.0,29.0,23.0
17_Feb,1324.0,677.0,157.0,374.0,255.0,394.0,0.0,32.0,334.0,122.0,489.0,331.0,224.0,134.0,107.0,26.0
18_Feb,1332.0,444.0,152.0,375.0,196.0,392.0,0.0,6.0,280.0,170.0,607.0,287.0,153.0,192.0,53.0,48.0
19_Feb,1145.0,639.0,172.0,397.0,196.0,231.0,61.0,59.0,289.0,118.0,530.0,293.0,204.0,174.0,34.0,33.0
20_Feb,1210.0,539.0,221.0,357.0,176.0,260.0,0.0,45.0,352.0,113.0,590.0,329.0,102.0,168.0,8.0,29.0
21_Feb,1177.0,429.0,126.0,426.0,274.0,221.0,0.0,155.0,292.0,113.0,636.0,370.0,171.0,125.0,28.0,34.0
22_Feb,969.0,379.0,102.0,202.0,196.0,206.0,55.0,42.0,168.0,88.0,500.0,170.0,111.0,53.0,40.0,30.0
23_Feb,1031.0,416.0,185.0,268.0,196.0,231.0,0.0,89.0,222.0,117.0,549.0,220.0,127.0,72.0,29.0,34.0
24_Feb,1465.0,795.0,138.0,376.0,294.0,450.0,118.0,58.0,220.0,194.0,588.0,267.0,248.0,248.0,89.0,56.0
25_Feb,1616.0,627.0,162.0,391.0,255.0,392.0,236.0,136.0,282.0,130.0,623.0,353.0,189.0,155.0,83.0,34.0
26_Feb,1370.0,604.0,215.0,432.0,333.0,340.0,186.0,102.0,385.0,111.0,442.0,348.0,160.0,204.0,17.0,46.0
27_Feb,1409.0,992.0,162.0,337.0,320.0,244.0,301.0,90.0,327.0,143.0,500.0,210.0,188.0,186.0,37.0,17.0
28_Feb,1201.0,668.0,138.0,386.0,261.0,256.0,0.0,102.0,330.0,156.0,561.0,431.0,142.0,160.0,54.0,24.0
29_Feb,1017.0,445.0,84.0,255.0,196.0,221.0,65.0,53.0,276.0,74.0,413.0,373.0,169.0,89.0,42.0,17.0
01_Mar,1181.0,489.0,154.0,329.0,255.0,256.0,176.0,0.0,209.0,110.0,448.0,252.0,169.0,83.0,92.0,33.0
02_Mar,1269.0,707.0,264.0,422.0,182.0,377.0,0.0,33.0,250.0,87.0,549.0,338.0,220.0,66.0,93.0,23.0
03_Mar,1849.0,809.0,219.0,566.0,372.0,363.0,430.0,120.0,481.0,168.0,474.0,289.0,196.0,120.0,101.0,34.0
04_Mar,1456.0,496.0,184.0,374.0,274.0,290.0,176.0,31.0,341.0,165.0,555.0,303.0,194.0,174.0,94.0,9.0
05_Mar,1252.0,672.0,205.0,412.0,235.0,433.0,58.0,88.0,281.0,100.0,438.0,307.0,207.0,125.0,42.0,32.0
06_Mar,1539.0,443.0,108.0,256.0,59.0,324.0,236.0,66.0,288.0,88.0,546.0,494.0,229.0,112.0,145.0,28.0
07_Mar,926.0,412.0,120.0,258.0,118.0,256.0,0.0,28.0,204.0,72.0,406.0,0.0,126.0,50.0,60.0,38.0
08_Mar,807.0,533.0,108.0,222.0,176.0,188.0,121.0,55.0,204.0,184.0,248.0,52.0,88.0,90.0,46.0,29.0
09_Mar,1142.0,578.0,255.0,324.0,222.0,354.0,61.0,49.0,311.0,60.0,352.0,464.0,144.0,108.0,64.0,33.0
10_Mar,950.0,658.0,118.0,279.0,333.0,266.0,0.0,43.0,250.0,72.0,354.0,66.0,184.0,76.0,80.0,26.0
11_Mar,1326.0,600.0,197.0,420.0,157.0,266.0,184.0,110.0,337.0,165.0,480.0,220.0,110.0,255.0,59.0,34.0
12_Mar,745.0,413.0,208.0,256.0,157.0,230.0,0.0,96.0,197.0,96.0,266.0,285.0,196.0,128.0,52.0,13.0
13_Mar,772.0,369.0,309.0,219.0,235.0,217.0,55.0,159.0,228.0,129.0,263.0,367.0,112.0,53.0,9.0,9.0
14_Mar,567.0,272.0,84.0,215.0,118.0,152.0,0.0,27.0,188.0,72.0,182.0,196.0,169.0,106.0,45.0,50.0
15_Mar,820.0,223.0,92.0,326.0,78.0,177.0,175.0,41.0,210.0,38.0,216.0,243.0,108.0,67.0,42.0,21.0
16_Mar,942.0,344.0,176.0,413.0,235.0,316.0,55.0,104.0,278.0,66.0,244.0,246.0,135.0,103.0,49.0,37.0
17_Mar,1068.0,362.0,144.0,390.0,137.0,344.0,65.0,28.0,224.0,141.0,410.0,244.0,185.0,82.0,25.0,37.0
