date,combined,Be-a.co.uk,Brentwood Open learning College,CPD Courses,Centre of Excellence,Course Gate,Euston College,Excel with Business,Janets,OfCourse,One Education,Oplex Careers,Oxford Home Study College,The Training Terminal,Training Express Ltd,Trendimi
28_Jan,0.3806000000000001,0.1344,0.0768,0.0986,0.0717,0.078,0.0106,0.0575,0.0937,0.0308,0.1889,0.0719,0.0449,0.0327,0.0094,0.0
29_Jan,0.3786,0.1616,0.0605,0.0958,0.0328,0.1046,0.0111,0.0388,0.0862,0.0337,0.1703,0.0995,0.0572,0.0335,0.0064,0.0082
30_Jan,0.3891,0.1289,0.0589,0.10800000000000001,0.0638,0.0881,0.0094,0.0397,0.0743,0.0423,0.19699999999999998,0.0669,0.0562,0.0417,0.0203,0.0046
31_Jan,0.381,0.1338,0.0762,0.1112,0.0398,0.0679,0.0139,0.032,0.0843,0.0464,0.1901,0.0892,0.0638,0.0204,0.0248,0.0062
01_Feb,0.4233,0.1242,0.0804,0.1173,0.0301,0.077,0.0503,0.0268,0.1069,0.0283,0.1832,0.0684,0.0696,0.0263,0.0059,0.0054
02_Feb,0.3169,0.1867,0.0675,0.1097,0.0544,0.0774,0.0111,0.0285,0.0839,0.0484,0.1409,0.0807,0.0792,0.0164,0.0036,0.0117
03_Feb,0.3597,0.1407,0.0573,0.1206,0.0385,0.0954,0.0259,0.0528,0.09300000000000001,0.0462,0.1377,0.0881,0.055999999999999994,0.0295,0.0077,0.0107
04_Feb,0.3912,0.1518,0.0595,0.10800000000000001,0.0658,0.105,0.0528,0.03,0.0805,0.0243,0.1428,0.0864,0.0457,0.0252,0.0101,0.0122
05_Feb,0.3733,0.1506,0.0524,0.1198,0.0599,0.0808,0.0,0.0402,0.1017,0.0301,0.1729,0.0822,0.057999999999999996,0.027000000000000003,0.0179,0.0063
06_Feb,0.3685,0.1744,0.0664,0.1087,0.0335,0.0811,0.0149,0.0088,0.0774,0.0405,0.1753,0.086,0.0601,0.0415,0.0198,0.0117
07_Feb,0.4278,0.1113,0.0724,0.1002,0.0802,0.1145,0.0133,0.0049,0.1047,0.0368,0.1863,0.0847,0.0515,0.0225,0.009000000000000001,0.0076
08_Feb,0.4405,0.1457,0.0476,0.1084,0.064,0.1065,0.0,0.013999999999999999,0.1336,0.0177,0.1892,0.0733,0.05,0.0163,0.0112,0.0224
09_Feb,0.3385,0.2159,0.0614,0.0965,0.0513,0.0789,0.0,0.0022,0.0804,0.0464,0.1624,0.11,0.0438,0.0292,0.0168,0.0049
10_Feb,0.4054,0.1734,0.0545,0.0779,0.0539,0.0782,0.0333,0.0176,0.1084,0.0209,0.1761,0.0982,0.0561,0.0327,0.0094,0.0094
11_Feb,0.4253,0.1573,0.0677,0.0891,0.0304,0.0829,0.0492,0.0257,0.0999,0.0309,0.1771,0.0646,0.0561,0.0409,0.0162,0.0118
12_Feb,0.4052000000000001,0.1264,0.0513,0.073,0.0504,0.0912,0.0294,0.0254,0.0884,0.0506,0.1908,0.1159,0.042,0.0497,0.0054,0.0103
13_Feb,0.3594,0.168,0.0635,0.1038,0.0484,0.0926,0.0,0.0385,0.083,0.0314,0.1756,0.0912,0.0479,0.0366,0.0082,0.0114
14_Feb,0.3637,0.1097,0.0703,0.0981,0.0568,0.0729,0.0,0.0336,0.0749,0.0155,0.2078,0.1497,0.0387,0.0561,0.0081,0.0077
15_Feb,0.35,0.1808,0.0413,0.1147,0.0726,0.1073,0.0,0.0,0.0706,0.0359,0.1601,0.0867,0.0772,0.0359,0.012,0.005
16_Feb,0.3692,0.1429,0.0486,0.0933,0.076,0.0922,0.0444,0.0127,0.0929,0.0356,0.1295,0.1186,0.0574,0.0377,0.0102,0.0081
17_Feb,0.3623,0.1852,0.0429,0.1023,0.0697,0.1078,0.0,0.0088,0.0914,0.0334,0.1338,0.0905,0.0613,0.0367,0.0293,0.0071
18_Feb,0.397,0.1323,0.0453,0.1118,0.0584,0.1168,0.0,0.0018,0.0835,0.0507,0.1809,0.0855,0.0456,0.0572,0.0158,0.0143
19_Feb,0.3338,0.1863,0.0501,0.1157,0.0571,0.0673,0.0178,0.0172,0.0843,0.0344,0.1545,0.0854,0.0595,0.0507,0.0099,0.0096
20_Feb,0.3679,0.1639,0.0672,0.1085,0.0535,0.0791,0.0,0.0137,0.107,0.0344,0.1794,0.1,0.031,0.0511,0.0024,0.0088
21_Feb,0.34619999999999995,0.1262,0.0371,0.1253,0.0806,0.065,0.0,0.0456,0.0859,0.0332,0.1871,0.1088,0.0503,0.0368,0.0082,0.01
22_Feb,0.4138,0.1618,0.0436,0.0863,0.0837,0.08800000000000001,0.0235,0.0179,0.0717,0.0376,0.2135,0.0726,0.0474,0.0226,0.0171,0.0128
23_Feb,0.3742,0.151,0.0672,0.0973,0.0711,0.0838,0.0,0.0323,0.0806,0.0425,0.1993,0.0799,0.0461,0.0261,0.0105,0.0123
24_Feb,0.35400000000000004,0.1921,0.0333,0.0908,0.071,0.1087,0.0285,0.013999999999999999,0.0532,0.0469,0.1421,0.0645,0.0599,0.0599,0.0215,0.0135
25_Feb,0.3992000000000001,0.1549,0.04,0.0966,0.063,0.0968,0.0583,0.0336,0.0697,0.0321,0.1539,0.0872,0.0467,0.0383,0.0205,0.0084
26_Feb,0.34900000000000003,0.1539,0.0548,0.1101,0.0848,0.0866,0.0474,0.026000000000000002,0.0981,0.0283,0.1126,0.0887,0.0408,0.052000000000000005,0.0043,0.0117
27_Feb,0.3475,0.2447,0.04,0.0831,0.0789,0.0602,0.0742,0.0222,0.0807,0.0353,0.1233,0.0518,0.0464,0.0459,0.0091,0.0042
28_Feb,0.3273,0.1821,0.0376,0.1052,0.0711,0.0698,0.0,0.0278,0.0899,0.0425,0.1529,0.1175,0.0387,0.0436,0.0147,0.0065
29_Feb,0.3669,0.1605,0.0303,0.092,0.0707,0.0797,0.0234,0.0191,0.0996,0.0267,0.149,0.1346,0.061,0.0321,0.0152,0.0061
01_Mar,0.3865,0.1601,0.0504,0.1077,0.0835,0.0838,0.0576,0.0,0.0684,0.036000000000000004,0.1466,0.0825,0.0553,0.0272,0.0301,0.0108
02_Mar,0.3514,0.1958,0.0731,0.1169,0.0504,0.1044,0.0,0.0091,0.0692,0.0241,0.152,0.0936,0.0609,0.0183,0.0258,0.0064
03_Mar,0.3899,0.1706,0.0462,0.1194,0.0784,0.0765,0.0907,0.0253,0.1014,0.0354,0.1,0.0609,0.0413,0.0253,0.0213,0.0072
04_Mar,0.3978,0.1355,0.0503,0.1022,0.0749,0.0792,0.0481,0.0085,0.0932,0.0451,0.1516,0.0828,0.053,0.0475,0.0257,0.0025
05_Mar,0.3445,0.1849,0.0564,0.1133,0.0646,0.1191,0.016,0.0242,0.0773,0.0275,0.1205,0.0845,0.0569,0.0344,0.0116,0.0088
06_Mar,0.4499,0.1295,0.0316,0.0748,0.0172,0.0947,0.069,0.0193,0.0842,0.0257,0.1596,0.1444,0.0669,0.0327,0.0424,0.0082
07_Mar,0.4311,0.1918,0.0559,0.1201,0.0549,0.1192,0.0,0.013000000000000001,0.095,0.0335,0.18899999999999997,0.0,0.0587,0.0233,0.0279,0.0177
08_Mar,0.3442,0.2274,0.0461,0.0947,0.0751,0.0802,0.0516,0.0235,0.087,0.0785,0.1058,0.0222,0.0375,0.0384,0.0196,0.0124
09_Mar,0.338,0.1711,0.0755,0.0959,0.0657,0.1048,0.0181,0.0145,0.092,0.0178,0.1042,0.1373,0.0426,0.032,0.0189,0.0098
10_Mar,0.3386000000000001,0.2346,0.0421,0.0995,0.1187,0.0948,0.0,0.0153,0.0891,0.0257,0.1262,0.0235,0.0656,0.0271,0.0285,0.0093
11_Mar,0.3690000000000001,0.1669,0.0548,0.1169,0.0437,0.07400000000000001,0.0512,0.0306,0.0938,0.0459,0.1336,0.0612,0.0306,0.071,0.0164,0.0095
